player_id,name,pos,Predicted,total_points,Prediction_Error,round,concede_pot,opp_pot,team_rank,opponent_team_rank,form_points,ict_form,save_form,prev_points,opp_concede_pot,team_pot,long_form
146,Keane,Defender,2.6,1,1.6,32,1.3125,2.3125,9,1,3,1.8,0,2,0,0,0
164,Schindler,Defender,3.9,1,2.9,32,1.9375,1,16,12,2.666666667,2.766666667,0,0,0,0,0
166,Smith,Defender,1.5,2,0.5,32,1.9375,1,16,12,1,2.433333333,0,1,0,0,0
171,Jorgensen,Defender,4.3,2,2.3,32,1.9375,1,16,12,3.333333333,2.666666667,0,1,0,0,0
191,Morgan,Defender,3.8,5,1.2,32,1.625,1.3125,8,13,3,1.7,0,2,0,0,0
192,Fuchs,Defender,1.3,1,0.3,32,1.625,1.3125,8,13,1.333333333,1.9,0,3,0,0,0
193,Simpson,Defender,3.7,5,1.3,32,1.625,1.3125,8,13,2.666666667,1.933333333,0,1,0,0,0
196,Chilwell,Defender,5.3,11,5.7,32,1.625,1.3125,8,13,6,6.333333333,0,5,0,0,0
198,Maguire,Defender,2.9,5,2.1,32,1.625,1.3125,8,13,3,5.8,0,2,0,0,0
215,Lovren,Defender,3.6,1,2.6,32,1.5625,1.1875,3,17,3,5.933333333,0,1,0,0,0
219,Matip,Defender,2.7,2,0.7,32,1.5625,1.1875,3,17,3,1.3,0,6,0,0,0
221,Sakho,Defender,0.6,1,0.4,32,1.5625,2.3125,17,3,3,1.9,0,7,0,0,0
222,Milner,Defender,3.2,6,2.8,32,1.5625,1.1875,3,17,4.333333333,6.7,0,6,0,0,0
223,Alexander-Arnold,Defender,5.4,2,3.4,32,1.5625,1.1875,3,17,4,3.166666667,0,1,0,0,0
244,Kompany,Defender,4,2,2,32,0.6875,1.625,1,9,4.666666667,2.5,0,6,0,0,0
245,Otamendi,Defender,3.8,2,1.8,32,0.6875,1.625,1,9,5.333333333,3.866666667,0,8,0,0,0
263,Smalling,Defender,6.9,6,0.9,32,0.4375,0.625,2,15,5.333333333,4.833333333,0,2,0,0,0
267,Valencia,Defender,5.7,7,1.3,32,0.4375,0.625,2,15,4,4.533333333,0,1,0,0,0
269,Fosu-Mensah,Defender,0.6,1,0.4,32,1.5625,2.3125,17,3,1.333333333,1.333333333,0,2,0,0,0
273,Lindelöf,Defender,5,6,1,32,0.4375,0.625,2,15,3,2.133333333,0,1,0,0,0
288,Yedlin,Defender,5.5,9,3.5,32,0.9375,0.625,12,16,5.333333333,3,0,6,0,0,0
290,Lascelles,Defender,4,5,1,32,0.9375,0.625,12,16,4.333333333,2.733333333,0,7,0,0,0
291,Dummett,Defender,4.5,6,1.5,32,0.9375,0.625,12,16,4.333333333,2.3,0,6,0,0,0
294,Lejeune,Defender,5.5,9,3.5,32,0.9375,0.625,12,16,5.333333333,2.966666667,0,6,0,0,0
307,Bertrand,Defender,3.2,1,2.2,32,1.733333333,1.266666667,18,14,2.666666667,3.866666667,0,1,0,0,0
310,Soares,Defender,3,1,2,32,1.733333333,1.266666667,18,14,2.666666667,4.8,0,1,0,0,0
311,van Dijk,Defender,2.3,2,0.3,32,1.5625,1.1875,3,17,3,3.2,0,6,0,0,0
313,Stephens,Defender,3.2,0,3.2,32,1.733333333,1.266666667,18,14,2,1.966666667,0,0,0,0,0
330,Shawcross,Defender,0.5,1,0.5,32,2.25,2.625,19,6,1,2.066666667,0,0,0,0,0
332,Pieters,Defender,1.6,1,0.6,32,2.25,2.625,19,6,4,3.433333333,0,6,0,0,0
335,Johnson,Defender,-0.5,0,0.5,32,2.25,2.625,19,6,0.6666666667,3.1,0,1,0,0,0
352,Naughton,Defender,1,1,0,32,1.5625,2.1875,15,2,3.333333333,2.166666667,0,7,0,0,0
354,Fernández,Defender,0.6,1,0.4,32,1.5625,2.1875,15,2,3,4.1,0,6,0,0,0
356,van der Hoorn,Defender,3.6,1,2.6,32,1.5625,2.1875,15,2,5.666666667,5.366666667,0,6,0,0,0
357,Mawson,Defender,0.9,1,0.1,32,1.5625,2.1875,15,2,2.666666667,2.5,0,5,0,0,0
358,Olsson,Defender,1.1,1,0.1,32,1.5625,2.1875,15,2,2.666666667,1.666666667,0,5,0,0,0
379,Walker,Defender,4,2,2,32,0.6875,1.625,1,9,4.666666667,2.733333333,0,6,0,0,0
380,Vertonghen,Defender,4.3,2,2.3,32,1.0625,1.6875,4,5,4,3.2,0,2,0,0,0
381,Davies,Defender,4.4,4,0.4,32,1.0625,1.6875,4,5,5.666666667,5.1,0,6,0,0,0
382,Trippier,Defender,3.6,2,1.6,32,1.0625,1.6875,4,5,4,2.666666667,0,4,0,0,0
399,Cathcart,Defender,0.8,1,0.2,32,1.75,1,11,10,0,0,0,1,0,0,0
400,Prödl,Defender,1.8,1,0.8,32,1.75,1,11,10,0.6666666667,1.266666667,0,0,0,0,0
401,Holebas,Defender,1.7,3,1.3,32,1.75,1,11,10,1,3.566666667,0,0,0,0,0
404,Janmaat,Defender,1.6,1,0.6,32,1.75,1,11,10,1,2.233333333,0,1,0,0,0
405,Mariappa,Defender,1.6,1,0.6,32,1.75,1,11,10,0.6666666667,1.933333333,0,0,0,0,0
407,Femenía Far,Defender,3.9,8,4.1,32,1.75,1,11,10,3,4.833333333,0,0,0,0,0
422,Nyom,Defender,0.8,1,0.2,32,1.625,1.0625,20,7,0.6666666667,3,0,1,0,0,0
423,Evans,Defender,3.3,5,1.7,32,1.625,1.0625,20,7,4.333333333,3.1,0,6,0,0,0
424,Dawson,Defender,0.7,1,0.3,32,1.625,1.0625,20,7,0.3333333333,3.5,0,0,0,0,0
443,Cresswell,Defender,4.4,6,1.6,32,1.333333333,0.8666666667,14,18,3,4.8,0,0,0,0,0
444,Ogbonna,Defender,3.7,6,2.3,32,1.333333333,0.8666666667,14,18,2.333333333,2.633333333,0,1,0,0,0
446,Masuaku,Defender,5.9,10,4.1,32,1.333333333,0.8666666667,14,18,4.333333333,3.733333333,0,1,0,0,0
447,Zabaleta,Defender,3.9,6,2.1,32,1.333333333,0.8666666667,14,18,2.333333333,1.5,0,1,0,0,0
462,Malone,Defender,3.4,1,2.4,32,1.9375,1,16,12,2.666666667,3.166666667,0,1,0,0,0
468,Hegazi,Defender,0.7,1,0.3,32,1.625,1.0625,20,7,0.6666666667,3.3,0,1,0,0,0
470,Christensen,Defender,1.6,1,0.6,32,0.875,1.9375,5,4,1.666666667,1.4,0,2,0,0,0
475,Robertson,Defender,4.4,8,3.6,32,1.5625,1.1875,3,17,6.666666667,5.433333333,0,11,0,0,0
480,Chambers,Defender,4.2,6,1.8,32,1.0625,0.75,6,19,2.666666667,3.466666667,0,1,0,0,0
483,da Silva,Defender,3.9,1,2.9,32,0.6875,1.625,1,9,2.666666667,0.6,0,1,0,0,0
510,Rice,Defender,4.2,6,1.8,32,1.333333333,0.8666666667,14,18,2.333333333,1.866666667,0,0,0,0,0
513,Martins Indi,Defender,2.2,1,1.2,32,2.25,2.625,19,6,2.666666667,1.8,0,1,0,0,0
520,Sánchez,Defender,3.5,2,1.5,32,1.0625,1.6875,4,5,3.333333333,2.766666667,0,2,0,0,0
525,Hoedt,Defender,4.3,1,3.3,32,1.733333333,1.266666667,18,14,3,2.633333333,0,0,0,0,0
538,Schelotto,Defender,1.2,1,0.2,32,1.4375,1.625,13,8,0.6666666667,1.766666667,0,0,0,0,0
591,Kongolo,Defender,2.3,2,0.3,32,1.9375,1,16,12,1.666666667,2.9,0,1,0,0,0
594,Bauer,Defender,2.3,1,1.3,32,2.25,2.625,19,6,2.666666667,1.666666667,0,1,0,0,0
612,Laporte,Defender,2,2,0,32,0.6875,1.625,1,9,3.333333333,2.6,0,7,0,0,0
614,Palmieri dos Santos,Defender,0.2,1,0.8,32,0.875,1.9375,5,4,0,0,0,1,0,0,0
7,Bellerín,Defender,1.9,0,1.9,32,1.117647059,0.9375,6,18,2.333333333,2.266666667,0,6,0,0,0
11,Holding,Defender,2.4,1,1.4,33,1.117647059,0.9375,6,18,2.666666667,2.2,0,6,0,0,0
12,Mustafi,Defender,6.4,1,5.4,33,1.117647059,0.9375,6,18,7,4.633333333,0,8,0,0,0
13,Kolasinac,Defender,1.7,1,0.7,33,1.117647059,0.9375,6,18,2.333333333,3.666666667,0,6,0,0,0
32,Francis,Defender,0.7,0,0.7,33,1.647058824,0.8235294118,11,17,0.3333333333,5.033333333,0,1,0,0,0
33,Cook,Defender,3.4,5,1.6,33,1.647058824,0.8235294118,11,17,2.666666667,5.5,0,1,0,0,0
34,Daniels,Defender,3.2,1,2.2,33,1.647058824,0.8235294118,11,17,2.333333333,4.533333333,0,1,0,0,0
38,Aké,Defender,2.3,1,1.3,33,1.647058824,0.8235294118,11,17,2.333333333,3.333333333,0,4,0,0,0
55,Dunk,Defender,2,2,0,33,1.411764706,0.6470588235,13,16,1.333333333,4.9,0,1,0,0,0
56,Duffy,Defender,2.2,1,1.2,33,1.411764706,0.6470588235,13,16,1,2.3,0,1,0,0,0
59,Bong,Defender,1.7,2,0.3,33,1.411764706,0.6470588235,13,16,0.3333333333,2.6,0,0,0,0,0
76,Lowton,Defender,3.4,1,2.4,33,0.9411764706,1.470588235,7,12,3,3.4,0,2,0,0,0
78,Ward,Defender,4,2,2,33,0.9411764706,1.470588235,7,12,3.333333333,2.833333333,0,2,0,0,0
79,Tarkowski,Defender,4.4,2,2.4,33,0.9411764706,1.470588235,7,12,3.666666667,2.466666667,0,2,0,0,0
80,Long,Defender,3.4,5,1.6,33,0.9411764706,1.470588235,7,12,3,3.733333333,0,2,0,0,0
97,Azpilicueta,Defender,5.8,11,5.2,33,0.8823529412,1.25,5,14,5,7,0,1,0,0,0
98,Cahill,Defender,2.2,2,0.2,33,0.8823529412,1.25,5,14,1.666666667,2.7,0,2,0,0,0
99,Zouma,Defender,0.9,1,0.1,33,1.588235294,1.941176471,19,4,1,0.8666666667,0,1,0,0,0
100,Alonso,Defender,2.1,2,0.1,33,0.8823529412,1.25,5,14,1.666666667,5.366666667,0,1,0,0,0
102,Moses,Defender,2.4,2,0.4,33,0.8823529412,1.25,5,14,2.666666667,4.133333333,0,4,0,0,0
103,Rüdiger,Defender,2.4,2,0.4,33,0.8823529412,1.25,5,14,1.333333333,2.033333333,0,1,0,0,0
117,Tomkins,Defender,-0.1,0,0.1,33,1.588235294,1.470588235,17,11,5,6.7,0,15,0,0,0
124,van Aanholt,Defender,3.5,1,2.5,33,1.588235294,1.470588235,17,11,3,3.433333333,0,1,0,0,0
