,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
13289,359,Williams,2016/17,30,7,3,1.2,2.6,1.5333333333333334,0.8,5.0,5.0,4,4.2,5.366666666666671
13441,363,Fernández,2016/17,30,17,19,1.4,0.6,1.933333333333333,1.1333333333333333,1.0,2.6666666666666665,6,2.0,2.4333333333333336
14160,382,Alderweireld,2016/17,30,2,15,1.5714285714285714,1.4666666666666666,0.8571428571428571,1.1333333333333333,2.0,3.333333333333333,7,2.2,4.733333333333332
14271,385,Vertonghen,2016/17,30,2,15,1.5714285714285714,1.4666666666666666,0.8571428571428571,1.1333333333333333,2.0,3.333333333333333,7,4.4,3.933333333333332
14308,386,Davies,2016/17,30,2,15,1.5714285714285714,1.4666666666666666,0.8571428571428571,1.1333333333333333,2.0,4.333333333333333,6,4.0,5.633333333333333
14345,387,Trippier,2016/17,30,2,15,1.5714285714285714,1.4666666666666666,0.8571428571428571,1.1333333333333333,1.0,5.666666666666668,6,3.8,4.3
15124,408,Cathcart,2016/17,30,12,20,1.4666666666666666,1.2857142857142858,0.7333333333333333,1.5,2.0,4.666666666666667,11,3.2,4.033333333333332
15235,411,Holebas,2016/17,30,12,20,1.4666666666666666,1.2857142857142858,0.7333333333333333,1.5,0.0,2.6666666666666665,7,2.6,5.7666666666666675
15273,412,Nyom,2016/17,30,8,5,0.6428571428571429,1.3333333333333333,1.8571428571428568,0.7333333333333333,2.0,2.6666666666666665,5,2.2,1.3999999999999992
15309,413,Britos,2016/17,30,12,20,1.4666666666666666,1.2857142857142858,0.7333333333333333,1.5,2.0,7.0,15,4.8,8.333333333333334
15976,431,Evans,2016/17,30,8,5,0.6428571428571429,1.3333333333333333,1.8571428571428568,0.7333333333333333,2.0,4.0,9,3.0,3.4666666666666672
16050,433,Dawson,2016/17,30,8,5,0.6428571428571429,1.3333333333333333,1.8571428571428568,0.7333333333333333,17.0,7.666666666666668,6,6.2,7.033333333333335
16161,436,McAuley,2016/17,30,8,5,0.6428571428571429,1.3333333333333333,1.8571428571428568,0.7333333333333333,2.0,3.6666666666666665,8,4.4,2.000000000000001
16235,438,Brunt,2016/17,30,8,5,0.6428571428571429,1.3333333333333333,1.8571428571428568,0.7333333333333333,2.0,3.0,6,2.4,3.033333333333333
16755,452,Collins,2016/17,30,14,18,0.8666666666666667,1.6666666666666667,1.8666666666666667,0.8,1.0,1.0,1,2.0,0.9666666666666665
16831,454,Cresswell,2016/17,30,14,18,0.8666666666666667,1.6666666666666667,1.8666666666666667,0.8,1.0,2.333333333333333,5,2.0,2.9
16945,457,Byram,2016/17,30,14,18,0.8666666666666667,1.6666666666666667,1.8666666666666667,0.8,1.0,2.0,1,1.4,2.6
17591,474,Klavan,2016/17,30,3,7,2.6,1.2,0.8,1.5333333333333334,3.0,2.0,1,1.8,1.6999999999999995
17666,476,Denayer,2016/17,30,20,12,1.2857142857142858,1.4666666666666666,1.5,0.7333333333333333,6.0,2.0,2,3.6,2.0
