,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
5299,143,Lukaku,2016/17,14,8,6,1.2857142857142858,1.2857142857142858,2.2857142857142856,1.2857142857142858,1.0,1.3333333333333333,1,3.6,4.133333333333332
6096,164,Diomande,2016/17,14,19,13,1.4285714285714286,1.1428571428571428,0.7142857142857143,1.5714285714285714,0.0,1.0,2,1.2,2.699999999999999
6837,184,Vardy,2016/17,14,16,18,0.8571428571428571,1.4285714285714286,2.5714285714285716,0.7142857142857143,1.0,2.6666666666666665,2,2.6,1.3666666666666665
6911,186,Okazaki,2016/17,14,16,18,0.8571428571428571,1.4285714285714286,2.5714285714285716,0.7142857142857143,2.0,3.6666666666666665,7,2.8,3.8666666666666667
6948,187,Musa,2016/17,14,16,18,0.8571428571428571,1.4285714285714286,2.5714285714285716,0.7142857142857143,1.0,1.0,1,2.6,1.5666666666666669
7933,213,Christian Benteke,2016/17,14,14,12,1.5714285714285714,1.7142857142857142,2.2857142857142856,1.7142857142857142,10.0,8.0,12,6.4,11.300000000000002
8084,217,Origi,2016/17,14,3,10,2.0,2.2857142857142856,1.75,1.2857142857142858,7.0,4.666666666666667,6,3.2,5.033333333333333
8878,239,Agüero,2016/17,14,4,1,1.8571428571428568,2.0,1.1428571428571428,1.1428571428571428,12.0,4.333333333333333,-1,7.0,11.8
8951,241,Iheanacho,2016/17,14,4,1,1.8571428571428568,2.0,1.1428571428571428,1.1428571428571428,1.0,3.333333333333333,1,2.4,4.433333333333332
10035,271,Rashford,2016/17,14,6,8,1.2857142857142858,1.2857142857142858,1.2857142857142858,2.2857142857142856,2.0,1.6666666666666667,1,1.8,3.4999999999999987
10071,272,Ibrahimovic,2016/17,14,6,8,1.2857142857142858,1.2857142857142858,1.2857142857142858,2.2857142857142856,9.0,9.333333333333334,7,6.4,12.533333333333333
10847,293,Stuani,2016/17,14,13,19,1.1428571428571428,1.4285714285714286,1.5714285714285714,0.7142857142857143,0.0,0.6666666666666666,1,0.8,0.06666666666666611
11570,313,Long,2016/17,14,12,14,1.7142857142857142,1.5714285714285714,1.7142857142857142,2.2857142857142856,1.0,1.0,1,1.0,0.8666666666666671
11606,314,Austin,2016/17,14,12,14,1.7142857142857142,1.5714285714285714,1.7142857142857142,2.2857142857142856,9.0,4.0,1,4.2,7.733333333333333
12419,336,Crouch,2016/17,14,9,15,1.2857142857142858,0.16666666666666666,1.7142857142857142,1.0,1.0,1.0,1,1.0,3.3333333333333326
12456,337,Diouf,2016/17,14,9,15,1.2857142857142858,0.16666666666666666,1.7142857142857142,1.0,2.0,2.333333333333333,4,1.8,3.1
13122,355,Defoe,2016/17,14,18,16,1.4285714285714286,0.8571428571428571,0.7142857142857143,2.5714285714285716,2.0,7.333333333333332,9,8.2,7.699999999999998
14033,379,Barrow,2016/17,14,20,5,0.8571428571428571,2.0,2.5714285714285716,0.7142857142857143,2.0,1.6666666666666667,2,1.6,1.7666666666666673
14924,403,Kane,2016/17,14,5,20,2.0,0.8571428571428571,0.7142857142857143,2.5714285714285716,2.0,9.333333333333334,13,9.0,12.433333333333332
15738,425,Deeney,2016/17,14,11,7,1.4285714285714286,0.7142857142857143,0.7142857142857143,2.2857142857142856,2.0,3.6666666666666665,4,3.0,6.93333333333333
15775,426,Ighalo,2016/17,14,11,7,1.4285714285714286,0.7142857142857143,0.7142857142857143,2.2857142857142856,1.0,1.3333333333333333,1,1.6,2.933333333333332
15849,428,Sinclair,2016/17,14,11,7,1.4285714285714286,0.7142857142857143,0.7142857142857143,2.2857142857142856,0.0,0.0,1,0.0,0.0
16626,449,Rondón,2016/17,14,7,11,0.7142857142857143,1.4285714285714286,2.2857142857142856,0.7142857142857143,2.0,4.333333333333333,2,3.4,5.433333333333335
17347,468,Carroll,2016/17,14,17,2,0.7142857142857143,2.5714285714285716,2.2857142857142856,1.0,2.0,0.0,5,0.0,0.0
17385,469,Valencia,2016/17,14,8,6,1.2857142857142858,1.2857142857142858,2.2857142857142856,1.2857142857142858,1.0,1.0,1,1.0,1.8999999999999997
17725,478,Negredo,2016/17,14,13,19,1.1428571428571428,1.4285714285714286,1.5714285714285714,0.7142857142857143,12.0,5.333333333333333,2,4.6,7.233333333333333
18537,500,Llorente,2016/17,14,20,5,0.8571428571428571,2.0,2.5714285714285716,0.7142857142857143,15.0,5.666666666666668,1,4.0,6.566666666666669
18797,507,Bastón,2016/17,14,20,5,0.8571428571428571,2.0,2.5714285714285716,0.7142857142857143,2.0,1.3333333333333333,1,2.4,1.633333333333333
19134,516,Bowen,2016/17,14,19,13,1.4285714285714286,1.1428571428571428,0.7142857142857143,1.5714285714285714,1.0,1.0,1,0.0,0.2333333333333333
19835,535,Fletcher,2016/17,14,17,2,0.7142857142857143,2.5714285714285716,2.2857142857142856,1.0,1.0,1.0,1,1.0,3.6666666666666665
20431,552,Okaka,2016/17,14,11,7,1.4285714285714286,0.7142857142857143,0.7142857142857143,2.2857142857142856,1.0,1.3333333333333333,2,0.0,2.2666666666666666
20945,567,Slimani,2016/17,14,16,18,0.8571428571428571,1.4285714285714286,2.5714285714285716,0.7142857142857143,5.0,4.666666666666667,2,4.0,6.366666666666666
21083,571,Robson-Kanu,2016/17,14,7,11,0.7142857142857143,1.4285714285714286,2.2857142857142856,0.7142857142857143,1.0,1.0,1,1.0,0.2666666666666672
21220,575,Anichebe,2016/17,14,18,16,1.4285714285714286,0.8571428571428571,0.7142857142857143,2.5714285714285716,2.0,5.666666666666668,2,5.6,10.866666666666667
881,25,Giroud,2016/17,15,2,11,2.25,1.0,1.5,1.875,4.0,4.0,1,5.0,4.933333333333331
1784,49,Callum Wilson,2016/17,15,12,13,1.125,1.5555555555555556,1.75,1.3333333333333333,6.0,4.333333333333333,1,3.2,4.5666666666666655
1898,52,Afobe,2016/17,15,12,13,1.125,1.5555555555555556,1.75,1.3333333333333333,4.0,4.0,7,2.8,6.900000000000001
2468,67,Vokes,2016/17,15,13,12,1.5555555555555556,1.125,1.3333333333333333,1.75,1.0,1.3333333333333333,1,3.4,2.9000000000000012
2506,68,Gray,2016/17,15,13,12,1.5555555555555556,1.125,1.3333333333333333,1.75,2.0,2.333333333333333,4,2.0,4.433333333333334
2582,70,Barnes,2016/17,15,13,12,1.5555555555555556,1.125,1.3333333333333333,1.75,1.0,1.0,1,2.0,4.833333333333333
3584,97,Costa,2016/17,15,1,8,0.875,1.125,2.0,2.0,12.0,8.333333333333334,8,8.6,9.566666666666668
