,round,team_rank,opponent_team_rank,team_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error
6674,2,19,1,0.6666666666666666,0.75,1.0,1.0,1.0,0.6999999999999997,1,0.0,1.0
17409,3,7,5,1.0526315789473684,1.0,1.0,1.3333333333333333,1.2,3.533333333333333,2,1.4,0.6000000000000001
2479,3,11,19,0.5,0.7692307692307693,1.0,1.0,2.0,0.30000000000000104,1,1.2,0.19999999999999996
18538,2,18,20,1.625,2.0,1.0,9.666666666666666,6.4,11.4,13,13.7,0.6999999999999993
6877,2,15,11,0.8888888888888888,1.6666666666666667,1.0,2.6666666666666665,2.0,4.233333333333333,6,3.5,2.5
10059,1,2,16,2.0,1.0,9.0,0.0,0.0,0.0,13,-1.7,14.7
12425,2,11,14,1.3,0.8,10.0,6.0,4.0,7.900000000000001,6,4.8,1.2000000000000002
3561,3,1,16,2.0,1.6666666666666667,1.0,1.0,1.0,0.23333333333333384,1,2.6,1.6
9959,1,8,14,1.6,1.0,1.0,1.0,1.0,1.0999999999999996,1,2.0,1.0
15764,1,18,8,1.0,0.5,2.0,1.6666666666666667,0.0,3.0,1,1.1,0.10000000000000009
1955,3,13,19,1.9411764705882355,1.4705882352941178,1.0,1.0,1.0,0.9999999999999996,1,1.8,0.8
753,2,13,6,1.3333333333333333,1.5,1.0,1.0,1.2,1.3333333333333333,1,1.2,0.19999999999999996
8077,1,4,17,1.8,2.0,1.0,1.0,1.0,2.233333333333333,1,3.0,2.0
6870,1,11,5,0.8,1.0,1.0,1.0,1.0,0.7333333333333334,1,1.2,0.19999999999999996
21345,1,11,9,1.0,3.0,0.0,0.0,0.0,0.0,1,1.5,0.5
6342,3,20,15,1.0769230769230769,1.5833333333333333,1.0,3.0,3.2,4.5666666666666655,6,3.6,2.4
16640,3,8,7,0.6923076923076923,2.2142857142857144,2.0,1.6666666666666667,1.6,2.8000000000000016,1,2.1,1.1
1774,1,17,1,1.0,0.3333333333333333,6.0,3.0,2.6,5.333333333333333,1,1.1,0.10000000000000009
4132,1,1,15,0.0,4.0,5.0,0.0,0.0,0.0,2,0.8,1.2
6667,1,17,10,0.5,0.3333333333333333,1.0,0.6666666666666666,1.4,0.1333333333333333,1,0.1,0.9
2697,2,7,4,1.5454545454545454,1.9090909090909087,1.0,1.0,0.0,0.7666666666666666,1,1.8,0.8
22832,3,17,20,0.9473684210526316,0.9473684210526316,5.0,4.0,3.6,4.466666666666664,2,3.6,1.6
5826,1,3,9,1.4,3.0,2.0,10.333333333333334,9.2,14.766666666666666,16,15.4,0.5999999999999996
4131,1,1,20,4.0,4.0,0.0,0.0,0.0,0.0,5,4.1,0.9000000000000004
6094,2,10,11,1.2222222222222223,2.1111111111111107,2.0,0.6666666666666666,1.8,1.6333333333333315,-2,1.2,3.2
6860,3,12,9,1.6666666666666667,1.7894736842105263,2.0,6.333333333333332,6.0,9.900000000000002,9,8.3,0.6999999999999993
3534,1,4,14,0.0,2.0,4.0,0.0,0.0,0.0,6,-0.2,6.2
7508,2,20,9,0.5555555555555556,1.4444444444444444,2.0,4.0,4.0,3.266666666666667,1,4.4,3.4000000000000004
12432,3,9,18,1.2857142857142858,1.2142857142857142,1.0,2.6666666666666665,3.6,4.700000000000003,5,3.9,1.1
21228,2,20,8,1.2727272727272727,1.9166666666666667,1.0,1.3333333333333333,1.6,2.500000000000004,1,1.5,0.5
5844,1,10,12,1.0,1.0,0.0,0.0,0.0,0.0,1,0.6,0.4
4433,2,16,8,1.125,1.625,2.0,1.0,1.0,2.433333333333335,-1,0.7,1.7
6864,1,16,6,1.0,1.0,1.0,1.0,0.0,0.6333333333333334,1,0.9,0.09999999999999998
3760,1,1,20,3.6666666666666665,2.333333333333333,20.0,13.333333333333336,8.6,19.53333333333333,11,13.6,2.5999999999999996
2712,2,11,13,1.0,2.2,1.0,3.6666666666666665,2.8,8.733333333333334,5,5.5,0.5
6366,1,12,7,0.6666666666666666,1.0,2.0,2.0,2.6,4.199999999999998,2,2.1,0.10000000000000009
16602,3,9,18,1.2857142857142858,1.2142857142857142,1.0,1.0,1.2,0.4666666666666668,1,1.7,0.7
2357,1,16,5,0.5,0.0,1.0,2.333333333333333,0.0,4.2,1,1.9,0.8999999999999999
6331,2,17,12,1.1428571428571428,1.5714285714285714,6.0,3.0,2.2,4.6,2,2.0,0.0
7507,2,20,1,0.5555555555555556,0.5555555555555556,9.0,5.666666666666668,4.0,6.366666666666667,2,3.1,1.1
7989,3,3,8,1.6470588235294117,1.6111111111111112,1.0,1.0,2.0,1.4333333333333338,1,1.9,0.8999999999999999
9966,2,6,8,1.4444444444444444,2.1111111111111107,2.0,2.6666666666666665,3.6,7.7333333333333325,5,4.0,1.0
7024,2,18,5,0.7777777777777778,0.7777777777777778,1.0,3.0,2.6,3.0666666666666638,2,3.0,1.0
6906,1,12,11,1.6,1.2,1.0,2.6666666666666665,2.4,3.266666666666667,6,4.0,2.0
3784,1,12,14,1.3333333333333333,1.8333333333333333,1.0,1.0,1.0,1.2333333333333332,1,2.1,1.1
14997,1,5,1,1.4285714285714286,1.8571428571428568,5.0,2.333333333333333,3.4,2.066666666666668,1,2.4,1.4
6958,2,16,6,1.3333333333333333,1.0,1.0,1.0,1.2,1.6000000000000003,1,0.8,0.19999999999999996
