,round,team_rank,opponent_team_rank,opp_pot,concede_pot,prev_points,form_points,ict_form,total_points,Predicted,Prediction_Error
171,3,6,4,2.1333333333333333,1.2142857142857142,1.0,0.6666666666666666,4.533333333333334,1,0.6,0.4
6893,2,16,10,0.7777777777777778,1.3333333333333333,1.0,1.3333333333333333,2.3000000000000003,2,2.9,0.8999999999999999
5946,2,10,20,0.6363636363636364,2.090909090909091,2.0,1.6666666666666667,2.533333333333332,1,4.1,3.0999999999999996
20787,3,9,18,0.6428571428571429,1.4285714285714286,0.0,5.0,3.266666666666668,6,9.2,3.1999999999999993
1152,1,7,20,0.0,1.5,2.0,3.333333333333333,4.566666666666666,6,6.6,0.5999999999999996
10239,3,19,1,2.176470588235294,1.5555555555555556,4.0,1.3333333333333333,2.666666666666668,1,-0.1,1.1
8260,1,1,6,1.5,0.5,0.0,0.0,0.0,1,1.5,0.5
6526,2,11,12,0.75,1.4545454545454546,2.0,2.0,3.0333333333333328,2,3.6,1.6
5231,1,14,5,0.6666666666666666,0.0,2.0,4.666666666666667,1.7333333333333334,6,6.9,0.9000000000000004
8319,3,4,9,1.4666666666666666,1.4705882352941178,2.0,3.0,3.2333333333333343,7,4.4,2.5999999999999996
14256,2,5,20,0.8571428571428571,0.7142857142857143,1.0,2.6666666666666665,2.566666666666666,6,6.1,0.09999999999999964
16797,3,14,7,1.1176470588235294,1.9411764705882355,0.0,2.333333333333333,2.066666666666664,6,4.1,1.9000000000000004
67,1,4,7,0.7142857142857143,1.7142857142857142,6.0,4.333333333333333,3.633333333333333,6,4.8,1.2000000000000002
5600,2,6,8,1.25,1.0,5.0,2.6666666666666665,6.266666666666663,2,2.5,0.5
4856,1,17,1,4.5,2.75,2.0,0.6666666666666666,2.4333333333333336,-1,-1.1,0.10000000000000009
6485,3,12,15,1.25,2.0,0.0,2.333333333333333,1.3,1,5.1,4.1
1528,2,3,18,1.1428571428571428,0.75,2.0,2.6666666666666665,6.366666666666667,0,4.9,4.9
1158,3,13,19,0.6470588235294118,1.3529411764705883,0.0,2.333333333333333,3.300000000000003,6,5.6,0.40000000000000036
11204,1,8,14,0.3333333333333333,1.75,9.0,5.333333333333333,5.833333333333335,2,5.5,3.5
7092,1,4,7,1.25,0.3333333333333333,2.0,6.0,6.066666666666666,7,8.3,1.3000000000000007
1499,1,15,20,1.1428571428571428,2.142857142857143,8.0,3.333333333333333,7.266666666666665,1,3.2,2.2
17690,2,17,2,2.1111111111111107,1.75,1.0,3.0,2.7666666666666657,1,3.6,2.6
8291,1,1,12,1.0,0.5,2.0,0.0,0.0,2,1.6,0.3999999999999999
7244,2,13,20,0.5,1.875,0.0,0.0,1.0000000000000002,1,2.9,1.9
1110,1,9,8,1.0,1.3333333333333333,2.0,4.666666666666667,4.8,6,6.6,0.5999999999999996
2839,1,17,5,2.0,1.6666666666666667,2.0,1.3333333333333333,3.0,1,1.3,0.30000000000000004
3550,1,1,8,1.0,0.6,1.0,7.0,4.5666666666666655,15,10.5,4.5
16139,1,12,3,2.0,3.0,2.0,2.0,3.066666666666667,2,1.9,0.10000000000000009
5595,1,3,11,0.5,0.5,1.0,7.0,4.4,14,11.0,3.0
12601,1,8,1,3.4,1.6666666666666667,6.0,3.6666666666666665,1.8000000000000005,-1,2.2,3.2
20746,2,1,3,2.1,1.1,3.0,3.333333333333333,2.9333333333333336,1,3.7,2.7
15305,2,13,6,1.4615384615384617,1.7692307692307692,2.0,3.0,3.5333333333333337,1,3.9,2.9
453,2,18,17,1.0909090909090908,1.6,0.0,0.6666666666666666,6.099999999999999,0,2.5,2.5
2939,3,1,9,1.1,1.2105263157894737,1.0,1.0,0.2666666666666667,1,2.7,1.7000000000000002
18713,1,18,10,1.0,2.0,0.0,1.0,3.933333333333332,0,2.5,2.5
