,round,team_rank,opponent_team_rank,opp_pot,save_form,concede_pot,prev_points,form_points,total_points,Predicted,Prediction_Error
21198,3,10,2,2.3076923076923075,3.0,2.3846153846153846,7.0,3.6666666666666665,1,1.7,0.7
4808,1,13,4,1.6666666666666667,3.0,1.3333333333333333,3.0,2.0,1,1.5,0.5
15916,1,9,20,1.5,1.6666666666666667,2.0,2.0,2.0,2,3.9,1.9
1798,2,18,17,1.0,3.6666666666666665,1.625,2.0,5.0,11,6.9,4.1
1031,2,11,18,1.6363636363636365,2.333333333333333,1.5454545454545454,0.0,3.0,1,5.5,4.5
5848,1,4,13,1.0,1.6666666666666667,0.0,6.0,6.666666666666668,7,7.9,0.9000000000000004
15929,2,8,20,1.5,5.0,2.0,2.0,3.333333333333333,3,4.5,1.5
6797,2,7,5,1.8,4.333333333333333,1.3,6.0,6.333333333333332,2,5.3,3.3
2089,2,10,16,0.375,2.333333333333333,1.5,13.0,7.333333333333332,9,6.7,2.3
1989,3,15,2,1.5714285714285714,3.6666666666666665,1.1333333333333333,10.0,4.333333333333333,2,2.0,0.0
15072,2,11,7,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.0,1.0,1,2.6,1.6
12562,1,20,15,0.6,4.0,1.8,2.0,3.333333333333333,2,4.6,2.5999999999999996
15943,3,8,11,0.8888888888888888,1.0,1.5789473684210529,2.0,2.0,2,3.3,1.2999999999999998
1780,1,20,9,0.5,1.6666666666666667,2.0,2.0,2.0,3,3.0,0.0
6972,1,2,14,3.0,0.0,3.0,0.0,0.0,7,1.3,5.7
