player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
503,Pogba,2016/17,2,2,16,2,0,0,1,0,0,3,0,0
520,Gooch,2016/17,2,18,6,2,0,2,0,1,0,1,0,0
521,Asoro,2016/17,2,18,6,2,0,2,0,0,0,1,0,0
525,Defour,2016/17,2,8,11,1,2,0.5,2.5,0,0,4,0,0
531,O'Neill,2016/17,2,8,11,1,2,0.5,2.5,0,0,1,0,0
533,Pienaar,2016/17,2,18,6,2,0,2,0,0,0,1,0,0
536,Fraser,2016/17,2,20,10,0,2,0,0,0,0,2,0,0
12,Sánchez,2016/17,3,8,18,1.5,1,0.5,0.5,3,7,16,0,9.033333333
13,Walcott,2016/17,3,8,18,1.5,1,0.5,0.5,3,4.333333333,5,0,9.933333333
14,Özil,2016/17,3,8,18,1.5,1,0.5,0.5,1,0,8,0,0
15,Cazorla,2016/17,3,8,18,1.5,1,0.5,0.5,3,6.333333333,9,0,6.766666667
17,Wilshere,2016/17,3,19,18,1.5,1,0.5,0.5,1,0,0,0,0
18,Chamberlain,2016/17,3,8,18,1.5,1,0.5,0.5,3,3.666666667,2,0,4.733333333
22,Elneny,2016/17,3,8,18,1.5,1,0.5,0.5,2,0,1,0,0
24,Xhaka,2016/17,3,8,18,1.5,1,0.5,0.5,3,1.666666667,2,0,1.9
37,Arter,2016/17,3,19,17,1.5,0.5,0.5,2.5,-1,2,5,0,2.666666667
39,Surman,2016/17,3,19,17,1.5,0.5,0.5,2.5,2,2,2,0,3
43,Gosling,2016/17,3,19,17,1.5,0.5,0.5,2.5,1,0,1,0,0
46,Ibe,2016/17,3,19,17,1.5,0.5,0.5,2.5,3,2,1,0,3.6
48,King,2016/17,3,19,17,1.5,0.5,0.5,2.5,2,4.333333333,9,0,6.566666667
62,Boyd,2016/17,3,13,2,0,0.5,1,1.5,3,2.333333333,2,0,3.033333333
63,Arfield,2016/17,3,13,2,0,0.5,1,1.5,3,2.333333333,1,0,1.033333333
64,Marney,2016/17,3,13,2,0,0.5,1,1.5,3,2.333333333,2,0,1.633333333
82,Hazard,2016/17,3,2,13,0.5,0,1.5,1,4,8.333333333,11,0,11.8
84,Oscar,2016/17,3,2,13,0.5,0,1.5,1,2,2,2,0,6.366666667
86,Willian,2016/17,3,2,13,0.5,0,1.5,1,2,0,11,0,0
87,Matic,2016/17,3,2,13,0.5,0,1.5,1,2,3,6,0,3.633333333
90,Pedro,2016/17,3,2,13,0.5,0,1.5,1,2,2,4,0,2.3
92,Moses,2016/17,3,2,13,0.5,0,1.5,1,1,2.666666667,6,0,3.2
95,Kanté,2016/17,3,2,13,0.5,0,1.5,1,2,2,3,0,2.166666667
109,Bolasie,2016/17,3,4,19,0.5,1.5,2.5,0.5,1,1.333333333,3,0,2.533333333
110,Puncheon,2016/17,3,17,19,0.5,1.5,2.5,0.5,2,4,8,0,8.4
111,Zaha,2016/17,3,17,19,0.5,1.5,2.5,0.5,1,1,1,0,4.4
114,McArthur,2016/17,3,17,19,0.5,1.5,2.5,0.5,0,0,2,0,0
117,Lee Chung-yong,2016/17,3,17,19,0.5,1.5,2.5,0.5,3,2.333333333,1,0,3.8
118,Cabaye,2016/17,3,17,19,0.5,1.5,2.5,0.5,1,0.3333333333,-1,0,3.3
120,Townsend,2016/17,3,17,19,0.5,1.5,2.5,0.5,1,1.666666667,2,0,8.166666667
133,Mirallas,2016/17,3,4,20,0.5,0.5,2.5,2,8,5.333333333,3,0,6.2
134,Barkley,2016/17,3,4,20,0.5,0.5,2.5,2,5,5.666666667,2,0,9.8
137,Barry,2016/17,3,4,20,0.5,0.5,2.5,2,10,4.666666667,2,0,7.066666667
155,Snodgrass,2016/17,3,12,3,1,2,1,2,3,4.666666667,1,0,7.466666667
156,Clucas,2016/17,3,5,3,1,2,0.5,2,3,2,2,0,2.166666667
157,Livermore,2016/17,3,10,3,1,2,1,2,3,2.333333333,2,0,3.333333333
158,Elmohamady,2016/17,3,5,3,1,2,0.5,2,3,2.333333333,2,0,2.1
160,Huddlestone,2016/17,3,5,3,1,2,0.5,2,3,2,1,0,3.1
161,Meyler,2016/17,3,5,3,1,2,0.5,2,3,2,1,0,2.733333333
162,Maloney,2016/17,3,5,3,1,2,0.5,2,11,0,1,0,0
176,Mahrez,2016/17,3,9,14,1,1,0.5,1,3,3.666666667,0,0,8.5
177,Albrighton,2016/17,3,9,14,1,1,0.5,1,3,0,3,0,0
179,Drinkwater,2016/17,3,9,14,1,1,0.5,1,3,4,7,0,6
182,Amartey,2016/17,3,9,14,1,1,0.5,1,1,0,2,0,0
201,Henderson,2016/17,3,11,7,1.666666667,1,2,0.5,1,1.333333333,1,0,4.6
202,Allen,2016/17,3,20,4,0.5,0.5,2,2.5,1,1.333333333,2,0,2.966666667
203,Coutinho,2016/17,3,11,7,1.666666667,1,2,0.5,2,6.333333333,2,0,10.63333333
205,Lallana,2016/17,3,11,7,1.666666667,1,2,0.5,2,5,2,0,11.8
208,Milner,2016/17,3,11,7,1.666666667,1,2,0.5,2,0,10,0,0
209,Firmino,2016/17,3,11,7,1.666666667,1,2,0.5,2,3,5,0,8.566666667
212,Mané,2016/17,3,11,7,1.666666667,1,2,0.5,7,0,1,0,0
