,round,team_rank,opponent_team_rank,team_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error
4619,17,11,8,1.2,1.5555555555555556,2.0,1.3333333333333333,2.0,1.9666666666666677,1,8249674.7,8249673.7
6725,13,14,15,1.5714285714285714,1.0,0.0,0.6666666666666666,0.8,0.7333333333333342,1,29680705.4,29680704.4
5731,20,5,14,2.1,1.6666666666666667,8.0,8.0,6.2,6.8666666666666645,15,45967620.1,45967605.1
19465,7,14,3,1.0,1.0,12.0,5.666666666666668,5.8,7.866666666666667,3,6099653.7,6099650.7
20721,30,15,2,1.4666666666666666,0.8571428571428571,3.0,2.333333333333333,1.4,1.5333333333333317,2,34518586.8,34518584.8
4951,8,15,7,0.6,2.0,2.0,1.3333333333333333,0.8,0.8000000000000002,1,-7074800.2,7074801.2
3684,23,1,3,2.333333333333333,0.5833333333333334,12.0,5.666666666666668,5.2,9.2,2,16496425.3,16496423.3
272,27,3,18,2.4285714285714284,1.4,1.0,1.0,3.4,1.3333333333333324,1,48686852.6,48686851.6
9713,18,6,18,1.5555555555555556,1.7777777777777777,3.0,2.6666666666666665,3.8,4.966666666666665,3,30348639.9,30348636.9
16525,24,8,11,1.3076923076923077,2.25,2.0,2.333333333333333,3.6,6.033333333333332,2,28325478.3,28325476.3
1957,28,17,4,1.1428571428571428,1.0714285714285714,2.0,2.0,2.0,5.933333333333335,2,37482325.0,37482323.0
5348,28,18,12,0.7142857142857143,1.4285714285714286,3.0,2.0,2.2,0.9999999999999992,1,51106705.3,51106704.3
1626,15,3,15,1.625,1.75,3.0,2.0,3.4,7.533333333333332,2,9634452.9,9634450.9
4382,17,16,10,1.0,1.8888888888888888,1.0,2.0,2.2,4.099999999999999,2,29711880.3,29711878.3
6857,21,8,4,1.6363636363636365,0.3636363636363637,2.0,1.3333333333333333,1.8,1.2,1,-7276304.3,7276305.3
5670,26,5,3,1.7692307692307692,0.6923076923076923,2.0,1.6666666666666667,1.8,4.000000000000001,2,-4008498.5,4008500.5
5210,1,8,12,0.0,0.0,0.0,0.0,0.0,0.0,2,-79969117.5,79969119.5
12282,25,9,19,1.2307692307692308,1.8461538461538465,2.0,1.6666666666666667,1.4,2.4,1,44454659.3,44454658.3
6285,12,17,3,1.0,0.6666666666666666,1.0,3.0,2.8,3.533333333333333,2,-5851023.1,5851025.1
4448,29,16,14,1.0714285714285714,1.7142857142857142,11.0,5.666666666666668,4.0,7.8,3,85882519.8,85882516.8
10739,17,14,19,1.2222222222222223,2.333333333333333,2.0,4.666666666666667,3.8,4.133333333333332,10,55623394.0,55623384.0
9895,18,6,18,1.5555555555555556,1.7777777777777777,3.0,3.333333333333333,2.8,3.9333333333333336,1,29261414.2,29261413.2
13006,9,20,15,1.4,2.0,2.0,2.0,1.6,7.2333333333333325,2,61775485.5,61775483.5
14477,13,5,1,1.4285714285714286,1.8571428571428568,1.0,3.333333333333333,3.0,2.566666666666667,1,-32985614.9,32985615.9
3043,27,8,1,1.4285714285714286,0.7142857142857143,2.0,2.333333333333333,2.6,2.8000000000000003,1,-5832940.5,5832941.5
20665,8,20,18,1.5,2.5,2.0,2.0,1.6,2.7999999999999994,2,72584224.7,72584222.7
3497,2,4,14,0.0,2.0,1.0,0.0,0.0,0.0,2,-65441084.4,65441086.4
7538,37,14,5,1.263157894736842,1.6666666666666667,2.0,2.0,1.8,4.766666666666663,1,52442214.3,52442213.3
4991,19,14,19,1.3,1.3,2.0,2.333333333333333,3.4,7.7333333333333325,2,53848035.5,53848033.5
6570,6,12,6,1.0,1.0,3.0,2.333333333333333,2.6,2.6,2,-21005668.6,21005670.6
6010,4,8,15,2.5,1.3333333333333333,1.0,4.333333333333333,0.0,4.500000000000001,1,23787127.2,23787126.2
7630,26,18,9,0.8461538461538461,1.4615384615384617,0.0,0.0,0.0,0.0,4,37549384.7,37549380.7
4913,5,2,13,1.3333333333333333,1.3333333333333333,6.0,3.6666666666666665,4.8,6.8,2,-23485705.8,23485707.8
8674,27,3,20,2.142857142857143,0.7142857142857143,3.0,2.6666666666666665,1.4,4.466666666666668,3,43820228.9,43820225.9
212,9,5,18,1.2,2.0,1.0,5.0,3.8,8.066666666666665,13,-1482176.5,1482189.5
22897,31,17,19,1.8125,1.3125,7.0,4.333333333333333,4.0,6.2,5,112428851.5,112428846.5
3625,17,1,20,2.6666666666666665,1.5555555555555556,8.0,11.0,7.0,16.433333333333334,16,59301670.3,59301654.3
7539,24,6,13,2.583333333333333,1.5833333333333333,2.0,1.6666666666666667,1.4,2.966666666666667,1,53519374.8,53519373.8
11303,37,8,19,1.1578947368421053,1.2222222222222223,3.0,2.333333333333333,2.0,2.233333333333336,1,54219850.6,54219849.6
430,36,5,6,2.0,0.9375,2.0,2.333333333333333,3.2,6.599999999999992,3,31361048.6,31361045.6
7076,2,17,2,0.0,0.0,1.0,0.0,0.0,0.0,2,-63071002.2,63071004.2
12380,12,13,10,1.1666666666666667,1.3333333333333333,8.0,3.333333333333333,2.4,2.9000000000000004,0,23746839.5,23746839.5
1567,26,14,8,1.3076923076923077,1.7142857142857142,1.0,1.3333333333333333,1.4,1.7666666666666673,1,38246078.1,38246077.1
1645,9,4,6,1.6,1.4,2.0,2.333333333333333,2.6,1.4999999999999998,4,-29601717.0,29601721.0
1561,20,9,5,2.1,1.4,1.0,1.6666666666666667,1.4,2.0000000000000004,2,20249996.2,20249994.2
4431,11,16,9,1.5,1.1428571428571428,1.0,3.0,2.4,4.900000000000001,6,23564757.1,23564751.1
13786,33,18,10,0.8823529411764706,0.6470588235294118,1.0,1.3333333333333333,1.2,2.066666666666667,2,47455968.3,47455966.3
9523,9,7,4,1.0,1.0,2.0,1.3333333333333333,1.4,3.3333333333333344,1,-42435548.7,42435549.7
985,3,17,7,0.0,1.5,2.0,2.333333333333333,0.0,4.7,3,-28577613.3,28577616.3
13665,26,16,1,1.0769230769230769,1.0,3.0,2.333333333333333,2.6,1.2999999999999992,2,19217174.8,19217172.8
19655,16,1,20,1.875,0.75,0.0,0.6666666666666666,1.4,0.16666666666666674,1,-204108.0,204109.0
4023,6,2,11,3.0,1.25,1.0,1.0,0.0,1.8,0,7036474.2,7036474.2
21319,11,3,15,2.0,0.8333333333333334,1.0,1.0,0.0,0.2333333333333333,1,-5742189.5,5742190.5
